,text
1302,"RT @Sergixta: Hey @ZomatoIN , what's up with this?

Does that fact that I have no friends and I eat alone mean that I can't use your gold b…"
1303,@babyexchief @mehshriya @Zomato @ZomatoIN Applicable from Sept 10.
1304,@Zomato Thanks for the update in usage policy of Zomato Gold (Wasn't well thought previously?). Didn't pay for this exactly. #BadMove
1305,"@firstpost #fooddelivery makes the cut. 
scores over #swiggy in one aspect: restaurant rater and finder, its original business!"
1306,@ZomatoIN Really terrible change in the new terms &amp; conditions of Zomato Gold. Where only ONE of the 2 or THREE mem… https://t.co/SD2D97jbLY
1307,@mehshriya @Zomato @ZomatoIN I just bought 😭
1308,@DMthisPM @babyexchief @Zomato @ZomatoIN Today is sept 10
1309,@Zomato @zomatocare @ZomatoIN  The Zomato Community will not take this lightly. We will get justice. This is unfair… https://t.co/t1LFpM34Z2
1310,@suparrrrrchit @Zomato @ZomatoIN Ouch
1311,"Yaaas after trying foodpanda, honestbee and yung mismong delivery service nila, grabfood meron and they accepted!!!… https://t.co/1JSfIx2FNq"
1312,"@mehshriya @Zomato @ZomatoIN wtf man what if someone is a member but has no one to go with, this is so insensitive.… https://t.co/WvjyGJsE64"
1313,"@Zomato your new rule on gold membership is stupid, for 3 diners only 1 gold unlock. Thanks for cheating us. None of us are gonna renew it."
1314,I don't understand why @ZomatoIN decided to impose the updated terms and conditions of Zomato gold on existing memb… https://t.co/RGrN6kI3Jg
1315,@babyexchief @Zomato @ZomatoIN Lolol you needed 2 people on a table toh hamesha se
1316,@ZomatoIN @Zomato how can you change TNC like this. I need a full refund for my membership #scrapgold
1317,"@AhmedabadPolice Zomato ..swiggy
Delivers meals to hungry people very fast .it's a mission 
No one will remain Hung… https://t.co/bymZHmgkbx"
1318,@Zomato @ZomatoIN @ZomatoGold Changing policies after customer has bought a service is very unfair. While purchasin… https://t.co/6lvSKljWh9
1319,RT @thedudeanish: @Zomato @zomatocare @ZomatoIN  The Zomato Community will not take this lightly. We will get justice. This is unfair pract…
1320,Has come up in bbsr in a big way
1321,@Aman_sheth @Zomato @ZomatoGold @ZomatoIN Why?
1322,"Same here, man. They aren't replying on their app, however. Let's Tweet them out of their induced slumber, the bast… https://t.co/sVlhSETAf7"
1323,RT @thedudeanish: @Zomato @zomatocare @ZomatoIN  The Zomato Community will not take this lightly. We will get justice. This is unfair pract…
1324,#boycottzomato
1325,#boycottzomato
1326,@zomatocare Any update?? I do not see any updates
1327,Yeah we'll just order in and eat via @swiggy_in. bye @Zomato @ZomatoGold @deeputhegooner @harishbalan
1328,"RT @shivi1790: #McDonalds #MCD #Swiggy @mcdonaldsindia Order no. #19385265971
I was so grossed out today to see cockroach in my food.
It wa…"
1329,"RT @Sergixta: Hey @ZomatoIN , what's up with this?

Does that fact that I have no friends and I eat alone mean that I can't use your gold b…"
1330,Yep. We referred friends and colleagues precisely due to the older T&amp;Cs. This is sheer cheating. @ZomatoIN… https://t.co/AA7ir0doWY
1331,"RT @sahej_AB: @ZomatoGold @ZomatoIN @zomatocare While we respect your right to alter the T&amp;C for Zomato Gold, at least honour the validity…"
1332,@jayjanagan @swiggy_in @Zomato @ZomatoGold @harishbalan Let’s start new hashtags #boycottzomato #boycottzomatogold
1333,Disgraceful that @Zomato has changed their Gold usage policy after users have already bought it. How can Zomato sca… https://t.co/fNZg0Ryfp3
1334,#boycottzomato
1335,@b50 @Zomato Cc: @shenoi1986
1336,#boycottzomato
1337,"@ZomatoIN @Zomato you are cheating by revising ur gold membership rules , this is bluff created by you . Pl respond"
1338,@Zomato 1663377085 order id sada khana diya complaint ki to resolution ni diya bakwas app.
1339,@abhigyanc90 @Zomato 😄
1340,@Zomato atleast be courteous enough to not change policy at such a large scale when it comes at USP. We as individu… https://t.co/P3NbVITHtu
1341,"@foodpandaIndia Yesterday I got cheap Chat service from FOODPANDA,.please check your Twitter Inbox"
1342,#BoycottZomato
1343,@ZomatoIN never ever use this service. Placed food order 2hours ago and yet to receive the order. No update from th… https://t.co/zCoMqRtP9s
1344,Asa ang Baked Scallops option sa Muvans!???? Wala sa foodpanda. Huuuuu
1345,"@Zomato @zomatocare @ZomatoIN 
First you promise a lot and take our money and now you start taking away privileges-… https://t.co/wjteERUeAm"
1346,#zomato
1347,#boycottzomato
1348,"RT @firstpost: #Zomato's latest financing round, which could go up to $400 million (Rs 2,800 crore) will value the Gurgaon-based firm at $1…"
1349,#boycottzomato
1350,@jayjanagan @swiggy_in @Zomato @ZomatoGold @harishbalan @Abhiraja88 use these hashtags
1351,@eazydiner I hope you guys do not pull of something with Eazydiner Prime like @Zomato has done with @ZomatoGold .
1352,"@mandyvin @ZomatoIN @Zomato Hi Mandy, kindly share your order details and we shall track the meal for you.
-AM"
1353,"@mirchiandmishti @ZomatoIN Ask for a refund, stop ordering online from zomato and request delivery from the restaur… https://t.co/r9icaPvg6H"
1354,@zomatocare dont use zomato fraud app
1355,"@shrinivassg Ask for a refund, stop ordering online from zomato and request delivery from the restaurant directly instead. #boycottzomato"
1356,"@kunwarbir @Zomato @ZomatoIN @ZomatoGold Ask for a refund, stop ordering online from zomato and request delivery fr… https://t.co/d5Tgi76obm"
1357,"@Zomato @ZomatoIN 
Unprofessional behaviour."
1358,"@deep__sanghvi @Zomato @ZomatoIN @zomatocare Ask for a refund, stop ordering online from zomato and request deliver… https://t.co/0gRiLMhV9X"
1359,"@Darshan_Pai @Zomato Ask for a refund, stop ordering online from zomato and request delivery from the restaurant di… https://t.co/hdTpQdda14"
1360,China’s Travel Company Ctrip May Invest $100 Mn In Zomato | #VentureCanvas - https://t.co/86ghXiYR6v https://t.co/sVQ4R7V0oh
1361,"@parth_nanavati8 Ask for a refund, stop ordering online from zomato and request delivery from the restaurant direct… https://t.co/5P7As9N8DI"
1362,Job!! Swiggy is hiring Delivery Executives in Guwahati. Salary from 13500/month to 20000/month &amp; free Insurance of… https://t.co/OkOkdad794
1363,@kksaiprashanth @Zomato @ZomatoIN stop ordering online from zomato and request delivery from the restaurant directly instead. #boycottzomato
1364,"@kewlioharsh @Zomato @ZomatoIN Ask for a refund, stop ordering online from zomato and request delivery from the res… https://t.co/3DWnoqsgew"
1365,@mehshriya @Zomato @ZomatoIN offo &lt;/3
1366,"@sanwat Ask for a refund, stop ordering online from zomato and request delivery from the restaurant directly instead. #boycottzomato"
1367,"@ZomatoIN 
Order id 1052490089
Dissatisfied !!
Master in Fack promises 
No value of customer 
No value of their own… https://t.co/1zcHoHMQJs"
1368,RT @DoshiPushkar: How can you make radical changes to a policy after extensively marketing and selling it in a completely different manner…
1369,"@nehave @ZomatoGold @Zomato Ask for a refund, stop ordering online from zomato and request delivery from the restau… https://t.co/j2Zcg1xMdf"
1370,RT @iN3IL: We did not see this coming @ZomatoIN Gold #ZomatoGold @Zomato https://t.co/eQkpF0Mnc3
1371,"@savinggothambrb @Zomato Ask for a refund, stop ordering online from zomato and request delivery from the restauran… https://t.co/7llb0VkPFq"
1372,@Sergixta @ZomatoIN @Zomato stop ordering online from zomato and request delivery from the restaurant directly instead. #boycottzomato
1373,"T-Shirt har jagah apt hai. @NetflixIndia @ZomatoIN @Zomato 
and you thought sirf radhika aur paneer apte ?… https://t.co/SqWaE4X4K8"
1374,"I want a refund, @Zomato. You can't change your policy mid-way and expect users to be okay with it. You have put yo… https://t.co/tiuiUiA12D"
1375,"@zomatocare @ZomatoIN @Zomato Order no: 1234184358 
The restaurant person Sagar has been hanging up on my calls wit… https://t.co/fp2xeriBhY"
1376,@arjun_singh1891 what's the child policy on updated terms and conditions of Zomato gold?
1377,China’s Travel Company #Ctrip May Invest $100 Mn In #Zomato https://t.co/KML0x3KqPU #news #foodtech #swiggy
1378,"@amankothari30 @Zomato @ZomatoIN @zomatocare Ask for a refund, stop ordering online from zomato and request deliver… https://t.co/SvjcCyreM4"
1379,"RT @fssaiindia: FSSAI has directed e-Commerce entities like Swiggy, Zomato, etc. to delist non-FSSAI licensed food operators and ensure com…"
1380,@Aashish77818910 @ZomatoIN stop ordering online from zomato and request delivery from the restaurant directly instead. #boycottzomato
1381,"@adityaa_aa @Zomato Ask for a refund, stop ordering online from zomato and request delivery from the restaurant dir… https://t.co/eMYwXXv1eV"
1382,@ankurjoshi19 @iN3IL @ZomatoIN @Zomato There is no abuse here as I see it sir. A paid membership has to be redeemab… https://t.co/dr0lZqhRCc
1383,"@ItsPrabhjit_SW @Zomato Ask for a refund, stop ordering online from zomato and request delivery from the restaurant… https://t.co/qsvEu4U7XQ"
1384,Other good alternatives to the cheater #ZomatoGold from @ZomatoIN are @eazydiner prime and @dineout_india Gourmet P… https://t.co/9uO6fWiOHD
1385,@GoogleIndia this swiggy posted the mobile number of my friend how to delete it from your search result? https://t.co/rSHYt9UCnJ
1386,"@2324Urvashi @ZomatoIN @Zomato Ask for a refund, stop ordering online from zomato and request delivery from the res… https://t.co/K0TD1B6GYT"
1387,Ordered on Saturday and received message that it's delivered but not received the order. Tried contacting customer… https://t.co/wok153Sm0A
1388,"@KoshurBlue @Zomato Ask for a refund, stop ordering online from zomato and request delivery from the restaurant dir… https://t.co/toqwq1optX"
1389,"@mehshriya @Zomato @ZomatoIN Ask for a refund, stop ordering online from zomato and request delivery from the resta… https://t.co/LHDl1UmK8J"
1390,China’s Travel Company Ctrip May Invest $100 Mn In Zomato | #VentureCanvas - https://t.co/c4Jncn8Zr7 https://t.co/yXmPbhuEDU
1391,"@shravi1197 @ZomatoIN @ZomatoGold @Zomato Ask for a refund, stop ordering online from zomato and request delivery f… https://t.co/hYSuDbvhSV"
1392,@ZomatoIN Why? Why? #Zomato #zomatogold https://t.co/v5DpnX82hs
1393,"@callmebhatia @Zomato Ask for a refund, stop ordering online from zomato and request delivery from the restaurant d… https://t.co/fvNU9NYXbK"
1394,@foodpandaIndia Ordered on Saturday and received message that it's delivered but not received the order. Tried cont… https://t.co/yDuXVsmXpq
1395,RT @deeputhegooner: @jayjanagan @swiggy_in @Zomato @ZomatoGold @harishbalan Let’s start new hashtags #boycottzomato #boycottzomatogold
1396,"@naitiks07 @ZomatoIN Ask for a refund, stop ordering online from zomato and request delivery from the restaurant di… https://t.co/VDyeYs4lsH"
1397,"@ShihtizArora @deepigoyal @Zomato @ZomatoIN Ask for a refund, stop ordering online from zomato and request delivery… https://t.co/2qPv02d5qh"
1398,"@ankurjoshi19 @iN3IL @ZomatoIN @Zomato Moreover, they asked us to put our money on a certain business model. To tak… https://t.co/ZxkcEHGOai"
1399,"@SatanKaAttorney @Zomato @ZomatoIN Ask for a refund, stop ordering online from zomato and request delivery from the… https://t.co/u56PTBMucL"
1400,RT @aditya8993: Other good alternatives to the cheater #ZomatoGold from @ZomatoIN are @eazydiner prime and @dineout_india Gourmet Passport.…
1401,RT @ami1240: @ZomatoIN Why? Why? #Zomato #zomatogold https://t.co/v5DpnX82hs
1402,"@sahej_AB @ZomatoGold @ZomatoIN @zomatocare Ask for a refund, stop ordering online from zomato and request delivery… https://t.co/STxdJoFxmd"
1403,RT @nekzaad: Image 1: T&amp;C clearly state that EACH Zomato gold member can order and avail of a 1-1 dish. So 3 gold members can get 3 dishes…
1404,@vilegenius @Zomato Stop ordering online from zomato and request delivery from the restaurant directly instead. #boycottzomato
1405,"@iMademoiselle @Zomato Ask for a refund, stop ordering online from zomato and request delivery from the restaurant… https://t.co/w8fJDJo4sK"
1406,@NikithChandran @ZomatoIN stop ordering online from zomato and request delivery from the restaurant directly instead. #boycottzomato
1407,"Hey, join Zomato Gold and get 1+1 on food or 2+2 on drinks. Also get a 20% OFF using my referral code TAARINB here:… https://t.co/ndhYgkNNw1"
1408,"@priyaidnani @ZomatoIN @Zomato Ask for a refund, stop ordering online from zomato and request delivery from the res… https://t.co/1KWWDWxJBm"
1409,Wondering why my lunch order was taking so long till I checked Zomato only to realize I didn’t confirm the checkout… https://t.co/jxhWHRXl3V
1410,"@ayushjainr @Zomato @zomatocare @jagograhakjago Ask for a refund, stop ordering online from zomato and request deli… https://t.co/8pF1wo8xcE"
1411,"@chaitalibajaj @Zomato Ask for a refund, stop ordering online from zomato and request delivery from the restaurant… https://t.co/dbRxm3pjeh"
1412,"@Zomato @ZomatoGold @ZomatoIN @zomatocare 
New policy. #scam #zomatoscam #zomatogoldscam"
1413,"@rochit @Zomato Ask for a refund, stop ordering online from zomato and request delivery from the restaurant directly instead. #boycottzomato"
1414,"Need some tips on how to cheat?
Contact @ZomatoIN :)
Well played Zomato👏👏
First do crazy publicity followed by chan… https://t.co/YLbm7Alihj"
1415,@zomatocare @ZomatoIN @Zomato You guys can't help! Close your shop here. Deleting your App right away. Was not a pl… https://t.co/dSZXJEkgja
1416,@ZomatoIN Really disappointed to see you guys change your rules for Zomato Gold. First you guys request us to invit… https://t.co/vy6s6qA03r
1417,"Me: *ordered food panda for the past few days.
Abang foodpanda: eh, you lagi?"
1418,@deepigoyal @pankajchaddah well that's really wrong and bad to cheat consumers . At least give the services we cons… https://t.co/Y0WeTQo8QW
1419,@kunwarbir @Zomato @ZomatoIN @ZomatoGold Best to delete their app so they can't make any money selling your data either!
1420,Please find snapshot of old #zomatogold membership terms and conditions . It’s contractually wrong for you to chang… https://t.co/i3XNHesTGb
1421,@deep__sanghvi @Zomato @ZomatoIN @zomatocare Best to delete their app so they can't make any money selling your data either!
1422,"RT @pranaygupta08: Need some tips on how to cheat?
Contact @ZomatoIN :)
Well played Zomato👏👏
First do crazy publicity followed by change in…"
1423,RT @Alexithymic8: Please find snapshot of old #zomatogold membership terms and conditions . It’s contractually wrong for you to change them…
1424,@amankothari30 @Zomato @ZomatoIN @zomatocare Best to delete their app so they can't make any money selling your data either!
1425,"@Zomato @ZomatoIN @zomatocare Where is my order, wtf you guys are doing in the estimate time.. it's been more than… https://t.co/V2KtK6PlzK"
1426,"RT @firstpost: #Zomato's latest financing round, which could go up to $400 million (Rs 2,800 crore) will value the Gurgaon-based firm at $1…"
1427,"Chinese travel services provider Ctrip likely to join Zomato’s financing round, may invest around $100 million… https://t.co/EMSGcxy2eL"
1428,@ZomatoIN Really disappointed to see you guys change your rules for Zomato Gold. First you guys request us to invit… https://t.co/r3YBPeSSRI
1429,"@gesangbekti @omphramz baca reviewnya di zomato sih yg paling kecil bintang 3, jadi nampaknya  lumayan (dan menunya… https://t.co/TEqmgx0r3b"
1430,"@kiranbadcode @Zomato @ZomatoIN Hi Kiran, kindly share your order details and we shall sort this out for you at the earliest.
-AM"
1431,@kewlioharsh @Zomato @ZomatoIN Best to delete their app so they can't make any money selling your data either!
1432,"RT @priyaidnani: @ZomatoIN @Zomato disappointed with your change in policy. You guys should have thought before introducing the policy, cha…"
1433,@nehave @ZomatoGold @Zomato Best to delete their app so they can't make any money selling your data either!
1434,@kksaiprashanth @Zomato @ZomatoIN Best to delete their app so they can't make any money selling your data either!
1435,@savinggothambrb @Zomato Best to delete their app so they can't make any money selling your data either!
1436,RT @sonika_sonik: Yep. We referred friends and colleagues precisely due to the older T&amp;Cs. This is sheer cheating. @ZomatoIN #zomatogold. #…
1437,@adityaa_aa @Zomato Best to delete their app so they can't make any money selling your data either!
1438,@vilegenius @Zomato Best to delete their app so they can't make any money selling your data either!
1439,@Zomato @ZomatoIN @ZomatoGold This is not a small change. You should honour your offer. One of the main reason why… https://t.co/g5ypI1pc30
1440,@zomatocare  Zomato is purely cheating customers. Stealing customers money. Please switch to @swiggy_in @SwiggyCares As they are far better.
1441,#Zomato #Unprofessional #Ignoring #India #Food still not received a single call from you guys!! @zomatocare @Zomato… https://t.co/R7cUTAiy9V
1442,"@swiggy_in This is the second time, My order was delivered extremely late and you just have sent partial order. Ext… https://t.co/jkDqtNTfda"
1443,@zomatocare @Zomato @ZomatoIN 1254063407
1444,@ennwhee Temme'bout it. How the heck is Swiggy hyper local dist startup?
1445,RT @kewalramani_s: @ZomatoIN Really disappointed to see you guys change your rules for Zomato Gold. First you guys request us to invite our…
1446,@zomatocare @Zomato @ZomatoIN I need an immediate call
1447,"RT @fssaiindia: FSSAI has directed e-Commerce entities like Swiggy, Zomato, etc. to delist non-FSSAI licensed food operators and ensure com…"
1448,RT @iamdariusxavier: @deepigoyal @pankajchaddah well that's really wrong and bad to cheat consumers . At least give the services we consume…
1449,"@mohitagarwal56 @Zomato sir i don't know about ethics, i'm a subscriber, i have no problems with it at all. Seemed… https://t.co/Ba5Fxe711Q"
1450,@Zomato @ZomatoIN #zomatogold @zomatocare @ZomatoGold
1451,RT @BriiShah: @ZomatoIN Really terrible change in the new terms &amp; conditions of Zomato Gold. Where only ONE of the 2 or THREE members on th…
1452,#rohini #kutumbthali # india's biggest thali #foodie #foodbloger #foodgasm #foodlover #zomato #zomatoconnoisseur… https://t.co/bcx45viC5c
1453,"@iamaayushij @Zomato ha, i just took a screenshot and posted!"
1454,@aartijethwani @b50 @Zomato Damn!!!! :-(
1455,RT @BriiShah: @ZomatoIN Really terrible change in the new terms &amp; conditions of Zomato Gold. Where only ONE of the 2 or THREE members on th…
1456,"@Zomato @ZomatoIN @zomatocare This is not done. You can not change conditions with retrospective effect , this case… https://t.co/RoUwhLMY93"
1457,@foodpandaIndia It was really embarrassing for me that while I ordered food for my VIP guests and was waiting for i… https://t.co/whJD295dVt
1458,"In case you are wondering, yes you can take @ZomatoIN to court. Consumer courts have repeatedly said service provid… https://t.co/ztsK9Fj33K"
1459,@ZomatoIN @zomatocare here zomato is playing dirty games.why are you putting restrictions after people have bought… https://t.co/nY1Y1wiy8L
1460,Good call by @Zomato . People were misusing it like anything. https://t.co/6NKFHOWXIJ
1461,@ZomatoIN @Zomato @zomatocare You be so smart with your creatives but dumb as fuck when it comes to service. ORM te… https://t.co/Fjus1BjaSk
1462,But fuck foodpanda for their late deliveries and scam vouchers that has a minimum purchase &amp; RM5 je pun like delivery is already RM5 so
1463,@ZomatoGold and @ZomatoIN you might want to take a look at this.
1464,We ordered food yest from Hotwok-Vashi thru @SwiggyCares (order #19578073945).veg manchurian delivered was stale.on… https://t.co/yVOvc0uG3q
1465,There has been no reply from Zomato for this issue. @Zomato @zomatocare @ZomatoIN  @deepigoyal Is this the CX servi… https://t.co/d2Ofgeeh56
1466,"RT @apurva_hv: In case you are wondering, yes you can take @ZomatoIN to court. Consumer courts have repeatedly said service providers canno…"
1467,"RT @apurva_hv: In case you are wondering, yes you can take @ZomatoIN to court. Consumer courts have repeatedly said service providers canno…"
1468,"RT @Sergixta: Hey @ZomatoIN , what's up with this?

Does that fact that I have no friends and I eat alone mean that I can't use your gold b…"
1469,RT @kewalramani_s: @ZomatoIN Really disappointed to see you guys change your rules for Zomato Gold. First you guys request us to invite our…
1470,"RT @apurva_hv: In case you are wondering, yes you can take @ZomatoIN to court. Consumer courts have repeatedly said service providers canno…"
1471,RT @iamdariusxavier: @deepigoyal @pankajchaddah well that's really wrong and bad to cheat consumers . At least give the services we consume…
1472,"Except, the problem with most consumer courts in India is how they aren't any different from the civil/criminal pro… https://t.co/OH3y8up8tn"
1473,Thank u for this tweet. I fed up with @Olacabs
1474,RT @shrinivassg: Zomato has made a tweak to its Zomato Gold. Result of restaurant pushback? https://t.co/FsreaW9KWV
1475,@ZomatoIN So a sudden change in policy to use Zomato Gold? Now only one allowed for two diners? That is adhoc and c… https://t.co/oUqDIigohv
1476,@pacificleo @Zomato I dont think 10 people on the table all having subscription and using it can be called misusing… https://t.co/AYT0ZlXdX4
1477,China’s Travel Company Ctrip May Invest $100 Mn In Zomato: As the foodtech war intensifies with Indian giants betti… https://t.co/pGifCRyCce
1478,RT @ays7: @ZomatoIN So a sudden change in policy to use Zomato Gold? Now only one allowed for two diners? That is adhoc and completely nons…
1479,Thank you for your patronage! We're glad that you had a great experience with us. We will remain committed to provi… https://t.co/pSfz46JGf3
1480,"RT @techieV2: Except, the problem with most consumer courts in India is how they aren't any different from the civil/criminal proceedings t…"
1481,"RT @fssaiindia: FSSAI has directed e-Commerce entities like Swiggy, Zomato, etc. to delist non-FSSAI licensed food operators and ensure com…"
1482,"Just got mugged by zomato , how can u change the offer after charging for zomato gold @Zomato @zomatocare… https://t.co/sbMy7IE5yl"
1483,"RT @apurva_hv: In case you are wondering, yes you can take @ZomatoIN to court. Consumer courts have repeatedly said service providers canno…"
1484,"@armaanGGMUmirza @Zomato @ZomatoGold @ZomatoIN Completely changed their Gold Policy, now you can use only 1 gold if… https://t.co/oEEoJ1KDa9"
1485,"Go for licence, would you like to be in market. Good moove"
1486,@V1JJU @ZomatoIN @Zomato Zomato wants you to order for your friends as well! Try doing that and they will accept it 🤣
1487,@terrorisse FOODPANDA
1488,"RT @apurva_hv: In case you are wondering, yes you can take @ZomatoIN to court. Consumer courts have repeatedly said service providers canno…"
1489,RT @nekzaad: Image 1: T&amp;C clearly state that EACH Zomato gold member can order and avail of a 1-1 dish. So 3 gold members can get 3 dishes…
1490,"RT @techieV2: Except, the problem with most consumer courts in India is how they aren't any different from the civil/criminal proceedings t…"
1491,"&lt;印&gt; 중국 여행사 'Ctrip', 인도 온라인 음식 스타트업 '조마토'에 1억 달러 투자 검토
China’s Travel Company Ctrip May Invest $100 Mn In Zomato… https://t.co/521QVfwa2I"
1492,"@foodpandaIndia what a service. Just classic, tell me one reason why not to prefer swiggy as my trusted food delive… https://t.co/dhTAEpIgkr"
1493,RT @Alexithymic8: Please find snapshot of old #zomatogold membership terms and conditions . It’s contractually wrong for you to change them…
1494,RT @bansalpiyushh: @ZomatoIN @zomatocare here zomato is playing dirty games.why are you putting restrictions after people have bought your…
1495,"Absolute #PONZI scheme by @ZomatoGold.Shocked! a business like @Zomato gains solid reputation,stoops to such crass… https://t.co/Qwte6ONYhs"
1496,@hardiknow @Zomato Yes. It has to make sense to the restaurant partner to sustain. Its FUP  of sorts for Food Deliv… https://t.co/JQRlq2AsTb
1497,@Sinhaboyy honestly Zomato chat support is nothing compared man. True story.
1498,"@orsoraggiante Swiggy gives ads on TV advertising deliveries of ₹40-50. So yes, people are burning petrol for paan… https://t.co/BPHFJBIOxi"
1499,"@zomatocare @Zomato 

Your delivery executive is denying to deliver the meals.

Previously you delivered many order… https://t.co/AfhrG8enKh"
1500,"I'm so pissed off with the brands these days. Most days i tweet only complaints to either Zomato, Uber, Ola or Voda… https://t.co/zhkPbW5umY"
1501,NARRATOR - DAMERA entered the room.
1502,"RT @BaidArpit: @deepigoyal @Zomato Have u ever bothered to see the service you provide..
Pathetic is like being nice to describe it.
Total…"
1503,"Investment in @Zomato  is the second investment by #Ctrip in India.

https://t.co/bEa3gByWOD"
1504,@Zomato @ZomatoIN @ZomatoGold in bird culture this is called a d**k move #RickAndMorty #unethical #DeleteZomato… https://t.co/LE1SrPzSfG
1505,"Wow, another shitty @Zomato Gold Update 😂 You guys have out done yourselves this time though. Changing a policy a f… https://t.co/DWcYCuy9xM"
1506,"@bobendrasingh @Zomato Hey Bobendra, that doesn't sound correct at all.

We have your details and we shall get this checked ASAP!
-AM"
1507,"Absolute #PONZI scheme by @ZomatoGold.Shocking a business like @Zomato gains solid reputation,stoops to such crass… https://t.co/feFFbpkGoV"
1508,"#RT: Inc42: Investment in Zomato  is the second investment by #Ctrip in India.

https://t.co/ULFMoihgSG"
1509,"Absolute #PONZI scheme by @ZomatoGold.Shocking a business like @Zomato gains solid reputation,stoops to such crass… https://t.co/wOnSeUHn9x"
1510,"RT @kksaiprashanth: Hey @Zomato @ZomatoIN, I didn’t sign up for this deal. Could I please get a refund. https://t.co/oXXnPUMM0i"
1511,"@SwiggyCares why isn't swiggy pop available in my area . It's in Chennai , AYANAVARAM https://t.co/mZCMB4a8M5"
1512,I gve special instructions that I want a bill but @swiggy_in dont care about their customers at all. I still didnt… https://t.co/yGcvBlMEx0
1513,"@nekzaad @ZomatoIN Absolute #PONZI scheme by @ZomatoGold.Shocking a business like @Zomato gains solid reputation,st… https://t.co/cMgTR0RYfH"
1514,I liked a @YouTube video https://t.co/Pk0obGJYsv Rs 1000 Food Challenge| Zomato Gold | Cyber HUB
1515,"What a game by zomato team,first influence the public to subscribe for zomato gold and then change the policy overn… https://t.co/qPF0i9pyLX"
1516,".@Zomato Gold Update. 

For 2 diners, only 1 gold can be unlocked now. Seems fair given how ppl misuse this.

But I… https://t.co/2fDNbo8Xq9"
1517,@yash_ch @ZomatoIN This is just cheating! The reason why I gt zomato gold was because of the benefits. This benefit… https://t.co/z2kwugF1m6
1518,RT @Alexithymic8: Please find snapshot of old #zomatogold membership terms and conditions . It’s contractually wrong for you to change them…
1519,@zomatocare @Zomato Please check order id 1348239796
1520,"RT @shravi1197: @ZomatoIN @ZomatoGold @Zomato  this is so uncool, first you charge a bomb for such a membership and suddenly you just make…"
1521,"RT @kartattack28: @zomatocare seriously??? Now that u ve got enough ppl on board, u wanna reiterate ur #zomatoGold benefits in an adverse w…"
1522,RT @Alexithymic8: Terrible decision by #zomato . You can’t apply terms and condition to us. Please issue a refund or revoke the news terms…
1523,"@Zomato please call me on
931-567-9131"
1524,"RT @harshil_here: Thanks for the party @foodpandaIndia !!! You are the best host ever... :-)
#foodpanda #craveparty https://t.co/5Tud8kKquN"
1525,@kksaiprashanth @Zomato @ZomatoIN It was bound to happen. It was too good to last.
1526,#kutumb #kutumbthali # india's biggest thali #foodie #foodbloger #foodgasm #foodlover #zomato #zomatoconnoisseur… https://t.co/lSXXF4t5Yl
1527,@TheBaronVj @Zomato @ZomatoIN They should’ve realised it before they signed up so many customers. I referred my who… https://t.co/oz9OONl63E
1528,RT @Rangaprasad_KPR: Swiggy Delivery Boys flouting Traffic rules daily in Chennai City. Will @swiggy_in @SwiggyCares @harshamjty and @Polic…
1529,@kksaiprashanth @Zomato @ZomatoIN Precisely. Night out with friends becomes ruined because of this shit.
1530,"Earlier there was no restrictions of usage of Zamato gold. After paying huge money to buy Zomato Gold, they did thi… https://t.co/hbLL8HJY3X"
1531,The reason why I am not purchasing @Zomato gold membership... You guys promise the delivery of the product and afte… https://t.co/swE9LhUiQK
1532,"RT @apurva_hv: In case you are wondering, yes you can take @ZomatoIN to court. Consumer courts have repeatedly said service providers canno…"
1533,"RT @kksaiprashanth: Hey @Zomato @ZomatoIN, I didn’t sign up for this deal. Could I please get a refund. https://t.co/oXXnPUMM0i"
1534,@TheBaronVj @Zomato @ZomatoIN And it’s not like we asked them to introduce Zomato Gold and neither are we using it… https://t.co/W1lWpxKfm2
1535,"RT @apurva_hv: In case you are wondering, yes you can take @ZomatoIN to court. Consumer courts have repeatedly said service providers canno…"
1536,@kksaiprashanth @Zomato @ZomatoIN Exactly. As if one blow wasn't bad enough.
1537,@deepigoyal how can you guys just change the Zomato Gold policies like that? I always go out in groups of 2 and all… https://t.co/wFuskAedNV
1538,"So basically @ZomatoIN lured customers into buying their annual gold subscription and once it became popular, they… https://t.co/x6Vom3qZrZ"
1539,"@asingh95 @Zomato @SwiggyCares Hey Arpit, that doesn't sound like a pleasing experience.

We have your details and… https://t.co/h8PPBMFfxn"
1540,What's wrong with @ZomatoIN? First attract customers with false offers and then change the terms and conditions ove… https://t.co/E4G8jSXnYb
1541,"RT @BhardwajAnanya: So basically @ZomatoIN lured customers into buying their annual gold subscription and once it became popular, they very…"
1542,@iRhythmGupta @Zomato @deepigoyal Why is it misusing if that was the actual policy? Restaurants have voluntarily si… https://t.co/vvfuKfXERu
1543,Can't wait for the outrage.
1544,"@zomatocare @Zomato This order suppose to deliver to hospital for patient and attendant.
But your delivery boy didn… https://t.co/Kosiy9m7SL"
1545,Don’t have Zomato Piggybank yet? I can help B-). Get exclusive access to Zomato Piggybank with my invite code MDSU0… https://t.co/RmtNIMQZl8
1546,@zomatocare @Zomato @ZomatoIN Changing policies after customer has bought a service is very unfair. While purchasin… https://t.co/Nvucu5HPKK
1547,@arjun_singh1891 cant you see @Zomato losing face&amp;solid reputation built with @ZomatoGold &amp;now turning into nothing… https://t.co/D2stCynNFH
